Data supplied by UK-AIR on 29/3/2020
All Data GMT hour ending  NB:  Upto 06/02/2020 PM10 were measured with a BAM unheated, from 07/02/2020 PM10 were measured with a BAM 1020 heated
Status: R =Ratified P=Provisional,P*=As supplied
,,Reading London Road,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2020,01:00,40.390,P,ugm-3 (Ref.eq),4.31524,P,ugm-3,24.37481,P,ugm-3,30.99143,P,ugm-3
01-01-2020,02:00,43.440,P,ugm-3 (Ref.eq),10.20977,P,ugm-3,29.63371,P,ugm-3,45.28848,P,ugm-3
01-01-2020,03:00,47.098,P,ugm-3 (Ref.eq),14.24697,P,ugm-3,32.04250,P,ugm-3,53.88756,P,ugm-3
01-01-2020,04:00,46.290,P,ugm-3 (Ref.eq),7.14017,P,ugm-3,27.87803,P,ugm-3,38.82614,P,ugm-3
01-01-2020,05:00,45.473,P,ugm-3 (Ref.eq),9.90949,P,ugm-3,31.50127,P,ugm-3,46.69560,P,ugm-3
01-01-2020,06:00,47.715,P,ugm-3 (Ref.eq),13.34611,P,ugm-3,31.49553,P,ugm-3,51.95928,P,ugm-3
01-01-2020,07:00,44.457,P,ugm-3 (Ref.eq),8.47478,P,ugm-3,30.57418,P,ugm-3,43.56866,P,ugm-3
01-01-2020,08:00,38.757,P,ugm-3 (Ref.eq),11.51102,P,ugm-3,30.76543,P,ugm-3,48.41542,P,ugm-3
01-01-2020,09:00,34.490,P,ugm-3 (Ref.eq),20.41955,P,ugm-3,31.28133,P,ugm-3,62.59087,P,ugm-3
01-01-2020,10:00,30.824,P,ugm-3 (Ref.eq),19.88570,P,ugm-3,29.38987,P,ugm-3,59.88085,P,ugm-3
01-01-2020,11:00,37.740,P,ugm-3 (Ref.eq),19.55205,P,ugm-3,28.23376,P,ugm-3,58.21315,P,ugm-3
01-01-2020,12:00,32.249,P,ugm-3 (Ref.eq),14.71409,P,ugm-3,24.70759,P,ugm-3,47.26887,P,ugm-3
01-01-2020,13:00,20.041,P,ugm-3 (Ref.eq),9.00862,P,ugm-3,16.72673,P,ugm-3,30.53976,P,ugm-3
01-01-2020,14:00,18.416,P,ugm-3 (Ref.eq),5.13825,P,ugm-3,16.14676,P,ugm-3,24.02530,P,ugm-3
01-01-2020,15:00,16.991,P,ugm-3 (Ref.eq),7.87421,P,ugm-3,18.36191,P,ugm-3,30.43553,P,ugm-3
01-01-2020,16:00,17.808,P,ugm-3 (Ref.eq),0.70067,P,ugm-3,10.59955,P,ugm-3,11.67390,P,ugm-3
01-01-2020,17:00,40.182,P,ugm-3 (Ref.eq),1.83509,P,ugm-3,15.16613,P,ugm-3,17.97989,P,ugm-3
01-01-2020,18:00,21.874,P,ugm-3 (Ref.eq),0.56721,P,ugm-3,18.88211,P,ugm-3,19.75182,P,ugm-3
01-01-2020,19:00,17.399,P,ugm-3 (Ref.eq),0.73404,P,ugm-3,19.98132,P,ugm-3,21.10683,P,ugm-3
01-01-2020,20:00,20.658,P,ugm-3 (Ref.eq),0.66731,P,ugm-3,17.94690,P,ugm-3,18.97009,P,ugm-3
01-01-2020,21:00,27.166,P,ugm-3 (Ref.eq),1.00096,P,ugm-3,19.10301,P,ugm-3,20.63779,P,ugm-3
01-01-2020,22:00,31.840,P,ugm-3 (Ref.eq),0.36702,P,ugm-3,14.34232,P,ugm-3,14.90507,P,ugm-3
01-01-2020,23:00,27.574,P,ugm-3 (Ref.eq),0.50048,P,ugm-3,9.08246,P,ugm-3,9.84985,P,ugm-3
01-01-2020,24:00,29.399,P,ugm-3 (Ref.eq),0.46711,P,ugm-3,6.26726,P,ugm-3,6.98349,P,ugm-3
02-01-2020,01:00,18.216,P,ugm-3 (Ref.eq),0.22244,P,ugm-3,4.93999,P,ugm-3,5.28105,P,ugm-3
02-01-2020,02:00,19.433,P,ugm-3 (Ref.eq),0.66731,P,ugm-3,4.32735,P,ugm-3,5.35054,P,ugm-3
