Data supplied by UK-AIR on 21/3/2020
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Derby St Alkmund's Way,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2019,01:00,7.07474,R,ugm-3,21.34851,R,ugm-3,32.19630,R,ugm-3
01-01-2019,02:00,3.93533,R,ugm-3,17.70387,R,ugm-3,23.73795,R,ugm-3
01-01-2019,03:00,3.97954,R,ugm-3,19.06853,R,ugm-3,25.17041,R,ugm-3
01-01-2019,04:00,2.61987,R,ugm-3,16.19088,R,ugm-3,20.20795,R,ugm-3
01-01-2019,05:00,1.49233,R,ugm-3,12.75265,R,ugm-3,15.04086,R,ugm-3
01-01-2019,06:00,2.55354,R,ugm-3,10.81853,R,ugm-3,14.73390,R,ugm-3
01-01-2019,07:00,2.58670,R,ugm-3,10.71652,R,ugm-3,14.68274,R,ugm-3
01-01-2019,08:00,3.15047,R,ugm-3,13.02397,R,ugm-3,17.85462,R,ugm-3
01-01-2019,09:00,2.52038,R,ugm-3,13.63198,R,ugm-3,17.49651,R,ugm-3
01-01-2019,10:00,7.03053,R,ugm-3,18.48317,R,ugm-3,29.26316,R,ugm-3
01-01-2019,11:00,8.45653,R,ugm-3,20.13362,R,ugm-3,33.10012,R,ugm-3
01-01-2019,12:00,6.20146,R,ugm-3,19.90788,R,ugm-3,29.41664,R,ugm-3
01-01-2019,13:00,9.71672,R,ugm-3,29.14946,R,ugm-3,44.04822,R,ugm-3
01-01-2019,14:00,20.49465,R,ugm-3,33.85468,R,ugm-3,65.27936,R,ugm-3
01-01-2019,15:00,11.27537,R,ugm-3,33.46144,R,ugm-3,50.75010,R,ugm-3
01-01-2019,16:00,6.49992,R,ugm-3,31.62617,R,ugm-3,41.59257,R,ugm-3
01-01-2019,17:00,25.40275,R,ugm-3,66.94957,R,ugm-3,105.89991,R,ugm-3
01-01-2019,18:00,83.00663,R,ugm-3,83.29693,R,ugm-3,210.57199,R,ugm-3
01-01-2019,19:00,59.49417,R,ugm-3,75.14717,R,ugm-3,166.37029,R,ugm-3
01-01-2019,20:00,31.17309,R,ugm-3,65.26415,R,ugm-3,113.06222,R,ugm-3
01-01-2019,21:00,30.50983,R,ugm-3,61.88143,R,ugm-3,108.66251,R,ugm-3
01-01-2019,22:00,45.73158,R,ugm-3,65.50273,R,ugm-3,135.62350,R,ugm-3
01-01-2019,23:00,29.41545,R,ugm-3,58.13655,R,ugm-3,103.23962,R,ugm-3
01-01-2019,24:00,15.15543,R,ugm-3,45.11093,R,ugm-3,68.34893,R,ugm-3
02-01-2019,01:00,11.34051,R,ugm-3,47.68618,R,ugm-3,65.07473,R,ugm-3
02-01-2019,02:00,8.68258,R,ugm-3,34.23101,R,ugm-3,47.54411,R,ugm-3
02-01-2019,03:00,3.48854,R,ugm-3,25.85820,R,ugm-3,31.20722,R,ugm-3
02-01-2019,04:00,2.32569,R,ugm-3,20.73469,R,ugm-3,24.30070,R,ugm-3
02-01-2019,05:00,8.53861,R,ugm-3,33.56500,R,ugm-3,46.65735,R,ugm-3
02-01-2019,06:00,20.56576,R,ugm-3,48.99114,R,ugm-3,80.52486,R,ugm-3
02-01-2019,07:00,70.60135,R,ugm-3,80.72885,R,ugm-3,188.98273,R,ugm-3
02-01-2019,08:00,87.84469,R,ugm-3,92.71012,R,ugm-3,227.40342,R,ugm-3
02-01-2019,09:00,91.13388,R,ugm-3,99.22878,R,ugm-3,238.96544,R,ugm-3
02-01-2019,10:00,83.95746,R,ugm-3,88.28510,R,ugm-3,217.01807,R,ugm-3
02-01-2019,11:00,45.31776,R,ugm-3,65.93261,R,ugm-3,135.41887,R,ugm-3
02-01-2019,12:00,39.73610,R,ugm-3,69.22162,R,ugm-3,130.14945,R,ugm-3
02-01-2019,13:00,49.33788,R,ugm-3,68.41444,R,ugm-3,144.06480,R,ugm-3
02-01-2019,14:00,21.82828,R,ugm-3,49.71559,R,ugm-3,83.18514,R,ugm-3
02-01-2019,15:00,8.90408,R,ugm-3,32.90231,R,ugm-3,46.55503,R,ugm-3
02-01-2019,16:00,47.21154,R,ugm-3,78.99058,R,ugm-3,151.38059,R,ugm-3
02-01-2019,17:00,19.27001,R,ugm-3,61.00515,R,ugm-3,90.55209,R,ugm-3
02-01-2019,18:00,64.68744,R,ugm-3,93.37786,R,ugm-3,192.56389,R,ugm-3
02-01-2019,19:00,29.27049,R,ugm-3,67.31172,R,ugm-3,112.19251,R,ugm-3
02-01-2019,20:00,20.69865,R,ugm-3,59.53083,R,ugm-3,91.26833,R,ugm-3
02-01-2019,21:00,31.39683,R,ugm-3,68.09296,R,ugm-3,116.23410,R,ugm-3
02-01-2019,22:00,14.61863,R,ugm-3,52.53356,R,ugm-3,74.94848,R,ugm-3
02-01-2019,23:00,19.00422,R,ugm-3,56.34792,R,ugm-3,85.48732,R,ugm-3
02-01-2019,24:00,10.06692,R,ugm-3,35.36553,R,ugm-3,50.80126,R,ugm-3
03-01-2019,01:00,6.61271,R,ugm-3,26.28612,R,ugm-3,36.42548,R,ugm-3
