Data supplied by UK-AIR on 15/3/2019
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Derby St Alkmund's Way,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2018,01:00,7.13541,R,ugm-3,21.81303,R,ugm-3,32.75384,R,ugm-3
01-01-2018,02:00,8.02118,R,ugm-3,20.38319,R,ugm-3,32.68217,R,ugm-3
01-01-2018,03:00,6.53259,R,ugm-3,21.91312,R,ugm-3,31.92962,R,ugm-3
01-01-2018,04:00,5.09321,R,ugm-3,15.19705,R,ugm-3,23.00653,R,ugm-3
01-01-2018,05:00,2.76805,R,ugm-3,10.80672,R,ugm-3,15.05100,R,ugm-3
01-01-2018,06:00,2.06681,R,ugm-3,6.88286,R,ugm-3,10.05192,R,ugm-3
01-01-2018,07:00,3.21093,R,ugm-3,8.13875,R,ugm-3,13.06212,R,ugm-3
01-01-2018,08:00,3.46929,R,ugm-3,11.45162,R,ugm-3,16.77111,R,ugm-3
01-01-2018,09:00,4.46578,R,ugm-3,12.07382,R,ugm-3,18.92125,R,ugm-3
01-01-2018,10:00,6.56950,R,ugm-3,16.15865,R,ugm-3,26.23174,R,ugm-3
01-01-2018,11:00,10.62930,R,ugm-3,20.41566,R,ugm-3,36.71369,R,ugm-3
01-01-2018,12:00,21.00024,R,ugm-3,38.80853,R,ugm-3,71.00846,R,ugm-3
01-01-2018,13:00,20.55736,R,ugm-3,34.75731,R,ugm-3,66.27815,R,ugm-3
01-01-2018,14:00,34.54522,R,ugm-3,49.75447,R,ugm-3,102.72306,R,ugm-3
01-01-2018,15:00,56.50505,R,ugm-3,71.55687,R,ugm-3,158.19674,R,ugm-3
01-01-2018,16:00,25.35530,R,ugm-3,45.89178,R,ugm-3,84.76937,R,ugm-3
01-01-2018,17:00,11.25672,R,ugm-3,30.20433,R,ugm-3,47.46440,R,ugm-3
01-01-2018,18:00,12.10559,R,ugm-3,27.82768,R,ugm-3,46.38933,R,ugm-3
01-01-2018,19:00,5.75754,R,ugm-3,16.32857,R,ugm-3,25.15667,R,ugm-3
01-01-2018,20:00,3.17403,R,ugm-3,11.09804,R,ugm-3,15.96481,R,ugm-3
01-01-2018,21:00,3.13712,R,ugm-3,9.70328,R,ugm-3,14.51346,R,ugm-3
01-01-2018,22:00,3.72764,R,ugm-3,10.57170,R,ugm-3,16.28733,R,ugm-3
01-01-2018,23:00,4.68723,R,ugm-3,8.72408,R,ugm-3,15.91106,R,ugm-3
01-01-2018,24:00,3.10021,R,ugm-3,9.00732,R,ugm-3,13.76091,R,ugm-3
02-01-2018,01:00,3.10470,R,ugm-3,7.66080,R,ugm-3,12.42127,R,ugm-3
02-01-2018,02:00,1.33059,R,ugm-3,2.12415,R,ugm-3,4.16436,R,ugm-3
02-01-2018,03:00,2.66117,R,ugm-3,3.72776,R,ugm-3,7.80817,R,ugm-3
02-01-2018,04:00,1.55235,R,ugm-3,3.22011,R,ugm-3,5.60034,R,ugm-3
02-01-2018,05:00,2.88294,R,ugm-3,5.97250,R,ugm-3,10.39294,R,ugm-3
02-01-2018,06:00,20.99369,R,ugm-3,32.96796,R,ugm-3,65.15783,R,ugm-3
02-01-2018,07:00,53.51912,R,ugm-3,54.06989,R,ugm-3,136.13140,R,ugm-3
02-01-2018,08:00,102.63992,R,ugm-3,70.13490,R,ugm-3,227.51391,R,ugm-3
02-01-2018,09:00,107.48177,R,ugm-3,88.88165,R,ugm-3,253.68474,R,ugm-3
02-01-2018,10:00,52.07765,R,ugm-3,59.24183,R,ugm-3,139.09312,R,ugm-3
02-01-2018,11:00,49.19472,R,ugm-3,58.00808,R,ugm-3,133.43893,R,ugm-3
02-01-2018,12:00,11.86439,R,ugm-3,39.42709,R,ugm-3,57.61891,R,ugm-3
02-01-2018,13:00,26.09427,R,ugm-3,43.67139,R,ugm-3,83.68204,R,ugm-3
02-01-2018,14:00,78.06104,R,ugm-3,71.74286,R,ugm-3,191.43478,R,ugm-3
02-01-2018,15:00,86.74681,R,ugm-3,68.87166,R,ugm-3,201.88157,R,ugm-3
02-01-2018,16:00,80.79613,R,ugm-3,64.96433,R,ugm-3,188.85001,R,ugm-3
